method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem1,120.0,0.6,1.577778,3.555556,0.3333333,2903.7262718106817,5886.137274383577
Morris,CMA,Problem1,120.0,0.6,1.577778,3.555556,0.8888889,3005.805790148919,6193.5285469471455
Morris,CMA,Problem1,120.0,0.8,0.1,0.0,0.1111111,55835.56464246621,51057.785449409814
Morris,CMA,Problem1,120.0,0.8,0.7333333,4.0,0.6666667,10392.518662993725,13785.723843191567
Morris,CMA,Problem1,120.0,1.0,0.5222222,1.777778,0.2222222,29612.309002806676,41659.19882028201
Morris,CMA,Problem1,120.0,1.0,0.5222222,1.777778,0.7777778,33557.9375888488,39202.59786006493
Morris,CMA,Problem1,120.0,1.0,0.5222222,4.0,0.7777778,27208.647387654706,30945.045379438736
Morris,CMA,Problem1,120.0,1.0,1.366667,3.555556,0.1111111,23621.565376392227,29372.771273379247
Morris,CMA,Problem1,120.0,1.0,1.577778,1.777778,0.2222222,25813.080231896583,42680.87500918598
Morris,CMA,Problem1,230.0,0.1,1.155556,0.4444444,0.0,43945.62384530175,45414.43524840062
Morris,CMA,Problem1,230.0,0.1,1.788889,1.777778,0.1111111,21426.59390903838,42881.59902017571
Morris,CMA,Problem1,230.0,0.2,0.3111111,3.111111,1.0,19303.61833235711,35535.7209713421
Morris,CMA,Problem1,230.0,0.2,1.366667,0.8888889,0.4444444,21865.160916599212,45551.26447843806
Morris,CMA,Problem1,230.0,0.2,1.366667,3.111111,0.4444444,13160.504599729373,26989.816817269868
Morris,CMA,Problem1,230.0,0.2,1.366667,3.111111,1.0,14564.629183501722,30046.330845827248
Morris,CMA,Problem1,230.0,0.2,1.577778,1.333333,0.2222222,18034.843759750594,37821.17292031746
Morris,CMA,Problem1,230.0,0.3,0.5222222,1.777778,0.6666667,22423.483621250536,45686.47017070263
Morris,CMA,Problem1,230.0,0.3,0.5222222,4.0,0.6666667,14172.692069010134,24744.92941523075
Morris,CMA,Problem1,230.0,0.6,1.155556,0.4444444,0.0,51717.22702047711,45775.249301076634
Morris,CMA,Problem1,230.0,0.7,0.1,1.777778,0.4444444,60009.82710258036,49853.69936743334
Morris,CMA,Problem1,230.0,0.7,0.3111111,3.111111,1.0,43816.15801762037,44470.53192624839
Morris,CMA,Problem1,230.0,0.7,0.5222222,1.333333,0.2222222,59532.01662678167,52386.83731747097
Morris,CMA,Problem1,230.0,0.7,0.5222222,1.333333,0.7777778,48465.7982214602,44120.685782532906
Morris,CMA,Problem1,230.0,0.7,0.5222222,3.555556,0.7777778,26643.033457901078,34769.527608776996
Morris,CMA,Problem1,230.0,0.7,1.155556,1.777778,0.4444444,34303.77914313495,44915.98811432687
Morris,CMA,Problem1,230.0,0.7,1.155556,1.777778,1.0,38221.2946236343,37936.882342680765
Morris,CMA,Problem1,230.0,0.7,1.577778,1.333333,0.2222222,37737.46413601903,37582.44337516739
Morris,CMA,Problem1,230.0,0.7,1.788889,3.555556,0.6666667,25854.106811191716,40063.67235118382
Morris,CMA,Problem1,230.0,0.8,0.5222222,4.0,0.6666667,29205.978204124334,39889.52904531149
Morris,CMA,Problem1,230.0,0.8,1.577778,4.0,0.6666667,32973.70267095223,44944.96734500905
Morris,CMA,Problem1,230.0,0.9,0.3111111,1.333333,0.8888889,56689.067127059585,47956.6870020023
Morris,CMA,Problem1,230.0,0.9,0.3111111,3.555556,0.8888889,62709.352437557085,52016.65045350759
Morris,CMA,Problem1,230.0,0.9,0.9444444,2.666667,0.4444444,50678.87380547752,45745.33157237951
Morris,CMA,Problem1,230.0,0.9,0.9444444,2.666667,1.0,49272.103564334335,44604.5355744963
Morris,CMA,Problem1,340.0,0.1,0.7333333,0.0,0.1111111,56524.168022641155,49138.34830722154
Morris,CMA,Problem1,340.0,0.1,1.788889,0.0,0.1111111,57634.74234492252,49521.3403304245
Morris,CMA,Problem1,340.0,0.1,1.788889,0.0,0.6666667,52150.901621778416,46086.7935104034
Morris,CMA,Problem1,340.0,0.2,0.1,0.0,0.0,56042.73704650783,47659.99628025643
Morris,CMA,Problem1,340.0,0.3,0.3111111,1.333333,0.0,52700.89496813852,46607.763468149504
Morris,CMA,Problem1,340.0,0.3,1.366667,1.333333,0.0,35721.35325735005,36718.803143246856
Morris,CMA,Problem1,340.0,0.3,1.366667,3.555556,0.0,22833.743301299,38536.30100665118
Morris,CMA,Problem1,340.0,0.3,1.366667,3.555556,0.5555556,23750.94869360208,40908.28914680197
Morris,CMA,Problem1,340.0,0.3,1.788889,3.111111,0.4444444,27023.900854994823,46850.54278508566
Morris,CMA,Problem1,340.0,0.5,0.1,1.777778,0.3333333,65538.41911660305,53686.823515725046
Morris,CMA,Problem1,340.0,0.5,0.1,4.0,0.3333333,50464.46276081492,38306.27264010427
Morris,CMA,Problem1,340.0,0.5,1.155556,1.777778,0.3333333,43310.485036309066,43532.675459673905
Morris,CMA,Problem1,340.0,0.5,1.155556,1.777778,0.8888889,47417.52270572117,41499.49341655621
Morris,CMA,Problem1,340.0,0.6,1.155556,2.222222,0.2222222,49241.00225410705,48402.71240658053
Morris,CMA,Problem1,340.0,0.7,0.1,0.0,0.0,80448.09132886246,23370.328370473093
Morris,CMA,Problem1,340.0,0.8,0.3111111,1.333333,0.0,71105.82315748978,56804.21026130708
Morris,CMA,Problem1,340.0,1.0,0.1,4.0,0.3333333,74752.28471506128,46086.586740808656
Morris,CMA,Problem1,450.0,0.1,0.1,4.0,0.3333333,56378.31487653307,48173.32894225101
Morris,CMA,Problem1,450.0,0.1,0.1,4.0,0.8888889,56342.43200994071,48638.36336202228
Morris,CMA,Problem1,450.0,0.1,1.155556,4.0,0.3333333,34082.78129724983,38110.89840666154
Morris,CMA,Problem1,450.0,0.2,0.1,0.8888889,0.5555556,64426.50261989568,55880.231384456936
Morris,CMA,Problem1,450.0,0.2,0.1,3.111111,0.0,59525.023847095275,50901.71003169016
Morris,CMA,Problem1,450.0,0.2,0.1,3.111111,0.5555556,64785.55574119378,56005.28560638981
Morris,CMA,Problem1,450.0,0.2,1.366667,1.333333,0.1111111,52961.26114017968,48605.431337489215
Morris,CMA,Problem1,450.0,0.3,0.3111111,2.222222,0.0,54636.24106410602,47574.72463126029
Morris,CMA,Problem1,450.0,0.3,0.7333333,0.4444444,0.7777778,59947.62514043341,53098.07131114725
Morris,CMA,Problem1,450.0,0.3,1.788889,0.4444444,0.7777778,58458.08638608665,50815.40038632708
Morris,CMA,Problem1,450.0,0.3,1.788889,2.666667,0.7777778,37761.24165468712,46396.03865277861
Morris,CMA,Problem1,450.0,0.4,0.3111111,0.8888889,0.4444444,69317.5294891386,60105.17434607291
Morris,CMA,Problem1,450.0,0.4,0.3111111,4.0,0.0,51061.82760867827,44019.06084768133
Morris,CMA,Problem1,450.0,0.4,1.366667,1.777778,0.0,46821.8100973849,42619.61957816923
Morris,CMA,Problem1,450.0,0.4,1.366667,4.0,0.0,29128.042700772843,42932.068303611304
Morris,CMA,Problem1,450.0,0.5,0.9444444,1.777778,0.0,50543.83014711795,44462.13205439415
Morris,CMA,Problem1,450.0,0.5,0.9444444,3.555556,0.5555556,39849.23247918395,35513.868957409366
Morris,CMA,Problem1,450.0,0.5,0.9444444,4.0,0.0,39050.537707391995,34110.88901511485
Morris,CMA,Problem1,450.0,0.5,2.0,1.333333,0.0,52193.66811675627,46846.095185001286
Morris,CMA,Problem1,450.0,0.5,2.0,3.555556,0.0,41973.66845672653,44391.104733806285
Morris,CMA,Problem1,450.0,0.5,2.0,3.555556,0.5555556,39420.863673029,37896.082065812305
Morris,CMA,Problem1,450.0,0.5,2.0,4.0,0.0,29205.73354182343,38907.998181114745
Morris,CMA,Problem1,450.0,0.7,0.1,3.111111,0.0,69689.63432961595,50479.80635183697
Morris,CMA,Problem1,450.0,0.7,0.3111111,3.555556,0.1111111,58106.194226192565,41612.90366305843
Morris,CMA,Problem1,450.0,0.7,0.3111111,3.555556,0.6666667,75204.68136689873,55346.723712658866
Morris,CMA,Problem1,450.0,0.7,1.366667,1.333333,0.1111111,58005.005658368966,49986.1028405531
Morris,CMA,Problem1,450.0,0.7,1.366667,3.555556,0.1111111,57879.57413661771,52767.69210243723
Morris,CMA,Problem1,450.0,0.8,0.3111111,2.222222,0.0,64335.428187774065,45820.85174968731
Morris,CMA,Problem1,450.0,0.8,0.3111111,2.222222,0.5555556,67218.40748314785,48671.32514274454
Morris,CMA,Problem1,450.0,0.8,0.3111111,4.0,0.5555556,71314.1837805199,54170.91859491813
Morris,CMA,Problem1,450.0,0.8,1.366667,0.0,0.5555556,69508.19049827982,39472.5791097966
Morris,CMA,Problem1,450.0,0.8,1.366667,2.222222,0.5555556,54853.53477455558,48038.40423050457
Morris,CMA,Problem1,450.0,0.8,1.788889,2.666667,0.2222222,66643.55982776299,56695.505257789875
Morris,CMA,Problem1,450.0,0.8,1.788889,2.666667,0.7777778,57008.26468965779,51336.7135873935
Morris,CMA,Problem1,450.0,0.9,0.3111111,0.8888889,0.4444444,79724.6345638519,23435.278211107077
Morris,CMA,Problem1,450.0,0.9,0.3111111,4.0,0.0,70909.22311040296,45705.153097821596
Morris,CMA,Problem1,450.0,0.9,0.3111111,4.0,0.5555556,66700.86714487628,42833.47453317886
Morris,CMA,Problem1,450.0,0.9,1.366667,0.8888889,0.4444444,62533.533713418656,49380.89183656032
Morris,CMA,Problem1,450.0,1.0,0.9444444,3.555556,0.5555556,57609.19645991483,43690.746280634776
Morris,CMA,Problem1,450.0,1.0,1.788889,0.0,0.0,70451.02730609005,39243.0638034385
Morris,CMA,Problem1,450.0,1.0,1.788889,2.222222,0.0,66981.9314739611,53316.31618056249
Morris,CMA,Problem1,560.0,0.1,0.7333333,2.666667,0.1111111,64310.92090614252,60609.737722903476
Morris,CMA,Problem1,560.0,0.1,0.7333333,2.666667,0.6666667,54438.351557651964,48570.07581091772
Morris,CMA,Problem1,560.0,0.2,0.5222222,0.0,0.7777778,59482.15147917683,40173.23004836389
Morris,CMA,Problem1,560.0,0.3,0.1,1.777778,0.1111111,74194.49947635629,47020.418497922146
Morris,CMA,Problem1,560.0,0.3,0.1,1.777778,0.6666667,73538.95291476508,38990.04909882279
Morris,CMA,Problem1,560.0,0.3,0.1,4.0,0.6666667,68115.60439226477,51151.46995027546
Morris,CMA,Problem1,560.0,0.3,1.155556,4.0,0.1111111,48411.18825516828,42510.54214113833
Morris,CMA,Problem1,560.0,0.3,1.155556,4.0,0.6666667,46310.7800684306,43879.88593862569
Morris,CMA,Problem1,560.0,0.4,1.788889,2.222222,0.1111111,54349.71205928869,47932.655969342886
Morris,CMA,Problem1,560.0,0.5,0.3111111,0.4444444,0.2222222,76616.83130488223,17780.285570866672
Morris,CMA,Problem1,560.0,0.5,0.9444444,0.4444444,0.7777778,58829.4926861809,45087.10477705297
Morris,CMA,Problem1,560.0,0.5,0.9444444,2.666667,0.2222222,60450.47556623836,50187.33391197037
Morris,CMA,Problem1,560.0,0.5,0.9444444,2.666667,0.7777778,56143.11198709269,45702.570157130394
Morris,CMA,Problem1,560.0,0.5,1.366667,0.4444444,0.2222222,56358.51962581543,48240.87639941241
Morris,CMA,Problem1,560.0,0.5,1.366667,0.4444444,0.7777778,65406.396575079474,56793.3219546221
Morris,CMA,Problem1,560.0,0.5,1.366667,2.222222,1.0,60000.628757172286,51090.369570357005
Morris,CMA,Problem1,560.0,0.5,2.0,2.666667,0.2222222,52156.17135830173,46444.97988237705
Morris,CMA,Problem1,560.0,0.6,0.7333333,2.666667,0.1111111,54162.66187506645,39749.64733601842
Morris,CMA,Problem1,560.0,0.8,1.155556,4.0,0.6666667,66238.24566308057,50954.98969097343
Morris,CMA,Problem1,560.0,0.9,0.5222222,1.777778,0.7777778,68869.06290921774,38258.69856954551
Morris,CMA,Problem1,560.0,0.9,0.5222222,4.0,0.7777778,72651.35635090749,48233.93567010335
Morris,CMA,Problem1,560.0,0.9,1.577778,4.0,0.2222222,59527.41787874508,45617.384659069816
Morris,CMA,Problem1,560.0,0.9,1.577778,4.0,0.7777778,55401.35539524802,41763.14677573548
Morris,CMA,Problem1,560.0,1.0,0.3111111,0.4444444,0.2222222,97657.80905888257,30085.48345926654
Morris,CMA,Problem1,560.0,1.0,0.3111111,2.666667,0.2222222,79672.71635610712,34242.3149856637
Morris,CMA,Problem1,560.0,1.0,0.5222222,1.333333,0.1111111,76434.37413681754,25659.501575600054
Morris,CMA,Problem1,560.0,1.0,0.5222222,3.555556,0.1111111,67845.8331474926,48345.07771442241
Morris,CMA,Problem1,560.0,1.0,0.9444444,1.777778,0.3333333,73312.50731428133,46729.23670474415
Morris,CMA,Problem1,560.0,1.0,0.9444444,4.0,0.3333333,62553.321623480275,43922.705697541394
Morris,CMA,Problem1,560.0,1.0,0.9444444,4.0,0.8888889,65919.3379999646,42229.77517299196
Morris,CMA,Problem1,560.0,1.0,1.577778,1.333333,0.1111111,65004.17850424755,46002.05391147155
Morris,CMA,Problem1,560.0,1.0,1.577778,1.333333,0.6666667,61843.600331952424,44001.300857237344
Morris,CMA,Problem1,560.0,1.0,2.0,2.666667,0.2222222,61053.685335336995,47581.44479210332
