method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean,BestSol_std
Morris,CMA,Problem2,802.0,0.28,0.86,0.8,0.6,1.1621740164660953e+21,6.302594991010827e+21
Morris,CMA,Problem2,802.0,0.28,2.0,0.8,0.6,1.0176486994455255e+19,2.725331627598709e+19
Morris,CMA,Problem2,802.0,0.28,2.0,3.2,0.6,1.0612177321962853e+20,3.060582866717023e+20
Morris,CMA,Problem2,802.0,0.64,0.1,0.0,0.4,1.3767276868860305e+20,5.75041814256722e+20
Morris,CMA,Problem2,802.0,0.82,0.86,0.8,0.6,1.2984615742793156e+21,5.407294670391069e+21
Morris,CMA,Problem2,802.0,0.82,0.86,1.6,0.6,2.1818747022270346e+21,1.1842673090154677e+22
Morris,CMA,Problem2,802.0,0.82,0.86,4.0,0.0,7.215674396127553e+20,3.0355732582397116e+21
Morris,CMA,Problem2,802.0,0.82,0.86,4.0,0.6,1.2626170565389776e+20,5.193496424771575e+20
Morris,CMA,Problem2,802.0,0.82,2.0,1.6,0.6,5.0781914993096745e+19,1.1726636168404612e+20
Morris,CMA,Problem2,802.0,0.82,2.0,4.0,0.0,7.565936258012797e+20,3.823407371961909e+21
Morris,CMA,Problem3,10.0,0.1,0.1,2.4,0.6,1259528.0127730211,1655006.9933720399
Morris,CMA,Problem3,10.0,0.46,0.48,1.6,0.4,1529749.3501732068,1265945.5912577934
Morris,CMA,Problem3,10.0,0.46,0.48,4.0,0.2,2219372.130643618,2985542.259705033
Morris,CMA,Problem3,10.0,0.46,0.48,4.0,0.4,1896924.53689143,2400831.9235962485
Morris,CMA,Problem3,10.0,0.46,1.62,4.0,0.4,1049087.207706884,1320987.6256001596
Morris,CMA,Problem3,10.0,0.46,1.62,4.0,1.0,1533269.6598867632,1834994.6327647958
Morris,CMA,Problem3,10.0,0.64,0.1,2.4,0.6,1512277.5932932768,1442757.9388751541
Morris,CMA,Problem3,10.0,1.0,0.48,1.6,0.2,1757060.7275470938,2285850.248155352
Morris,CMA,Problem3,10.0,1.0,0.48,1.6,0.4,1502534.7529925788,1457376.55608538
Morris,CMA,Problem3,10.0,1.0,0.48,1.6,0.8,1677734.290147452,2203840.1162587656
Morris,CMA,Problem3,10.0,1.0,0.48,4.0,0.2,1292497.406657915,934079.1708700912
Morris,CMA,Problem3,10.0,1.0,1.62,1.6,0.8,1463951.46690495,1744144.6415618083
Morris,CMA,Problem3,1000.0,0.1,0.1,0.8,0.0,1828263.2826512998,2023829.4178939604
Morris,CMA,Problem3,1000.0,0.1,0.1,0.8,0.6,1695742.4179582223,2192012.2206733786
Morris,CMA,Problem3,1000.0,0.1,0.1,3.2,0.6,1339203.553058014,1663721.4056761758
Morris,CMA,Problem3,1000.0,0.1,0.86,0.8,0.2,1366776.127457575,1368210.3928297705
Morris,CMA,Problem3,1000.0,0.1,1.24,3.2,0.6,1745542.987455003,2216333.6605009735
Morris,CMA,Problem3,1000.0,0.1,2.0,0.8,0.2,1684726.459428824,1355485.3898484046
Morris,CMA,Problem3,1000.0,0.1,2.0,3.2,0.2,1241807.5402195337,1288776.395268219
Morris,CMA,Problem3,1000.0,0.1,2.0,3.2,0.8,1687752.5289175152,2593397.3798821857
Morris,CMA,Problem3,1000.0,0.46,0.1,4.0,0.6,1879026.3505608402,2154153.4725997774
Morris,CMA,Problem3,1000.0,1.0,0.1,4.0,0.6,1670092.6269186682,1992724.9773791744
Morris,CMA,Problem3,1000.0,1.0,1.24,4.0,0.6,1238867.3442227824,1287101.3069530036
Morris,CMA,Problem3,208.0,0.1,1.24,2.4,1.0,1921135.4890333803,2300955.7524875533
Morris,CMA,Problem3,208.0,0.28,0.86,1.6,0.6,954306.5827988773,880639.5440407216
Morris,CMA,Problem3,208.0,0.28,2.0,1.6,0.6,2024283.0248596368,2350565.469434202
Morris,CMA,Problem3,208.0,0.28,2.0,3.2,0.0,1729920.2416083221,1645958.1849579974
Morris,CMA,Problem3,208.0,0.28,2.0,3.2,0.6,1890638.393265604,2284970.498736341
Morris,CMA,Problem3,208.0,0.82,0.86,1.6,0.0,1283417.8405436426,1357041.577437983
Morris,CMA,Problem3,208.0,0.82,0.86,1.6,0.6,1955948.7721699155,2604584.799086533
Morris,CMA,Problem3,208.0,0.82,0.86,4.0,0.0,1458495.0499251676,1968647.7654765013
Morris,CMA,Problem3,208.0,0.82,2.0,1.6,0.6,1323260.9755926055,1313380.3660423844
Morris,CMA,Problem3,406.0,0.1,0.86,0.8,0.2,1773069.0426659784,2249621.7380712554
Morris,CMA,Problem3,406.0,0.1,1.24,3.2,0.6,2087774.8904042465,2129593.919348586
Morris,CMA,Problem3,406.0,0.64,0.86,0.8,0.2,1067702.9325058681,1245950.1499665512
Morris,CMA,Problem3,406.0,0.64,1.24,3.2,0.6,1078127.758859197,978355.8242002601
Morris,CMA,Problem3,406.0,1.0,1.24,1.6,0.0,1497062.0673219229,1786663.217777463
Morris,CMA,Problem3,406.0,1.0,1.24,4.0,0.0,1830521.8618394763,2205132.970944834
Morris,CMA,Problem3,406.0,1.0,1.24,4.0,0.6,1470741.9750546706,1648542.2499606356
Morris,CMA,Problem3,604.0,0.64,0.1,2.4,0.0,1134200.792704598,1709978.8332061635
Morris,CMA,Problem3,604.0,0.64,0.1,2.4,0.6,1442012.6230677855,1388862.1901836644
Morris,CMA,Problem3,604.0,0.64,1.24,0.0,0.0,1708015.803414396,1623936.8652906802
Morris,CMA,Problem3,604.0,0.64,1.24,2.4,0.0,1541955.049480879,1176077.5502793135
Morris,CMA,Problem3,604.0,1.0,0.48,1.6,0.4,1641454.2844200437,1746065.8169405507
Morris,CMA,Problem3,604.0,1.0,1.62,1.6,0.8,1763957.8710094662,1973064.4576917295
Morris,CMA,Problem3,802.0,0.1,0.1,0.0,0.4,1524440.1870724002,1398374.2995003934
Morris,CMA,Problem3,802.0,0.1,1.24,0.0,0.4,1540789.0713202925,1293850.1432529204
Morris,CMA,Problem3,802.0,0.1,1.24,2.4,0.4,2212268.488309758,2757860.59107199
Morris,CMA,Problem3,802.0,0.1,1.24,2.4,1.0,1149201.4832838343,978125.319816649
Morris,CMA,Problem3,802.0,0.28,0.86,0.8,0.6,1728819.16370852,2086139.0562788444
Morris,CMA,Problem3,802.0,0.28,2.0,0.8,0.6,1416828.4378111917,1748867.138567135
Morris,CMA,Problem3,802.0,0.28,2.0,3.2,0.6,1661990.2898394961,1971296.175955677
Morris,CMA,Problem3,802.0,0.64,0.1,0.0,0.4,1434108.3610700364,1322520.9666402529
Morris,CMA,Problem3,802.0,0.82,0.86,0.8,0.6,1551192.0506318274,1415634.819696274
Morris,CMA,Problem3,802.0,0.82,0.86,1.6,0.6,1711201.3106884642,2295113.4281389853
Morris,CMA,Problem3,802.0,0.82,0.86,4.0,0.0,1823836.3381260666,2287014.4013645286
Morris,CMA,Problem3,802.0,0.82,0.86,4.0,0.6,1247288.8284278489,1352535.6814642018
Morris,CMA,Problem3,802.0,0.82,2.0,1.6,0.6,1655357.0238259803,1672403.883633774
Morris,CMA,Problem3,802.0,0.82,2.0,4.0,0.0,1869981.1243647027,1962406.4939091762
Morris,CMA,Problem4,10.0,0.1,0.1,2.4,0.6,97.04764424470613,2.945362862041551
Morris,CMA,Problem4,10.0,0.46,0.48,1.6,0.4,97.51575760275067,2.116996668277618
Morris,CMA,Problem4,10.0,0.46,0.48,4.0,0.2,97.49601525331256,3.100301178287771
Morris,CMA,Problem4,10.0,0.46,0.48,4.0,0.4,96.8774931996932,2.809346829288416
Morris,CMA,Problem4,10.0,0.46,1.62,4.0,0.4,96.14574833494756,4.079562928010829
Morris,CMA,Problem4,10.0,0.46,1.62,4.0,1.0,96.71729990688102,3.476473758606404
Morris,CMA,Problem4,10.0,0.64,0.1,2.4,0.6,96.25190581209459,4.12829936615308
Morris,CMA,Problem4,10.0,1.0,0.48,1.6,0.2,96.88717589148882,2.664132193685245
Morris,CMA,Problem4,10.0,1.0,0.48,1.6,0.4,96.29653413618634,4.196704559438175
Morris,CMA,Problem4,10.0,1.0,0.48,1.6,0.8,95.43912433392138,3.7976251434242396
Morris,CMA,Problem4,10.0,1.0,0.48,4.0,0.2,96.21562539333983,3.3189665620363766
Morris,CMA,Problem4,10.0,1.0,1.62,1.6,0.8,96.56991625385061,3.222560297615753
Morris,CMA,Problem4,1000.0,0.1,0.1,0.8,0.0,97.07295439190553,3.0257325670642645
Morris,CMA,Problem4,1000.0,0.1,0.1,0.8,0.6,96.93167786777725,2.752398626841604
Morris,CMA,Problem4,1000.0,0.1,0.1,3.2,0.6,96.15959646881957,3.388647672271615
Morris,CMA,Problem4,1000.0,0.1,0.86,0.8,0.2,96.01576255313475,2.8099268857407864
Morris,CMA,Problem4,1000.0,0.1,1.24,3.2,0.6,97.14019031570342,1.7309317344374615
Morris,CMA,Problem4,1000.0,0.1,2.0,0.8,0.2,96.31074850159341,3.7538663657775895
Morris,CMA,Problem4,1000.0,0.1,2.0,3.2,0.2,97.55371346344825,2.7092005132906998
Morris,CMA,Problem4,1000.0,0.1,2.0,3.2,0.8,96.63954670804645,5.262206413086131
Morris,CMA,Problem4,1000.0,0.46,0.1,4.0,0.6,97.37594688802545,2.4893998607401264
Morris,CMA,Problem4,1000.0,1.0,0.1,4.0,0.6,96.68575611793531,3.322981959667916
Morris,CMA,Problem4,1000.0,1.0,1.24,4.0,0.6,95.96748726744956,3.725210696342305
Morris,CMA,Problem4,208.0,0.1,1.24,2.4,1.0,96.63187683982481,3.0319204530787642
Morris,CMA,Problem4,208.0,0.28,0.86,1.6,0.6,97.34695233459857,2.395305507505958
Morris,CMA,Problem4,208.0,0.28,2.0,1.6,0.6,97.29646675613951,2.235917703577237
Morris,CMA,Problem4,208.0,0.28,2.0,3.2,0.0,96.28206421783729,3.900643113665204
Morris,CMA,Problem4,208.0,0.28,2.0,3.2,0.6,97.20173152434752,2.9681891488819936
Morris,CMA,Problem4,208.0,0.82,0.86,1.6,0.0,95.72127797235197,3.724864897546908
Morris,CMA,Problem4,208.0,0.82,0.86,1.6,0.6,96.6763525687455,3.133499943370238
Morris,CMA,Problem4,208.0,0.82,0.86,4.0,0.0,96.88995681792007,3.4518313558633364
Morris,CMA,Problem4,208.0,0.82,2.0,1.6,0.6,96.93214904925368,2.759538785265222
Morris,CMA,Problem4,406.0,0.1,0.86,0.8,0.2,95.98222060036626,3.742634446777895
