method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
Morris,CMA,Problem3,1000,1,1.24,4,0.6,1238867.344
Morris,CMA,Problem3,208,0.1,1.24,2.4,1,1921135.489
Morris,CMA,Problem3,208,0.28,0.86,1.6,0.6,954306.5828
Morris,CMA,Problem3,208,0.28,2,1.6,0.6,2024283.025
Morris,CMA,Problem3,208,0.28,2,3.2,0,1729920.242
Morris,CMA,Problem3,208,0.28,2,3.2,0.6,1890638.393
Morris,CMA,Problem3,208,0.82,0.86,1.6,0,1283417.841
Morris,CMA,Problem3,208,0.82,0.86,1.6,0.6,1955948.772
Morris,CMA,Problem3,208,0.82,0.86,4,0,1458495.05
Morris,CMA,Problem3,208,0.82,2,1.6,0.6,1323260.976
Morris,CMA,Problem3,406,0.1,0.86,0.8,0.2,1773069.043
Morris,CMA,Problem3,406,0.1,1.24,3.2,0.6,2087774.89
Morris,CMA,Problem3,406,0.64,0.86,0.8,0.2,1067702.933
Morris,CMA,Problem3,406,0.64,1.24,3.2,0.6,1078127.759
Morris,CMA,Problem3,406,1,1.24,1.6,0,1497062.067
Morris,CMA,Problem3,406,1,1.24,4,0,1830521.862
Morris,CMA,Problem3,406,1,1.24,4,0.6,1470741.975
Morris,CMA,Problem3,604,0.64,0.1,2.4,0,1134200.793
Morris,CMA,Problem3,604,0.64,0.1,2.4,0.6,1442012.623
Morris,CMA,Problem3,604,0.64,1.24,0,0,1708015.803
Morris,CMA,Problem3,604,0.64,1.24,2.4,0,1541955.049
Morris,CMA,Problem3,604,1,0.48,1.6,0.4,1641454.284
Morris,CMA,Problem3,604,1,1.62,1.6,0.8,1763957.871
Morris,CMA,Problem3,802,0.1,0.1,0,0.4,1524440.187
Morris,CMA,Problem3,802,0.1,1.24,0,0.4,1540789.071
Morris,CMA,Problem3,802,0.1,1.24,2.4,0.4,2212268.488
Morris,CMA,Problem3,802,0.1,1.24,2.4,1,1149201.483
Morris,CMA,Problem3,802,0.28,0.86,0.8,0.6,1728819.164
Morris,CMA,Problem3,802,0.28,2,0.8,0.6,1416828.438
Morris,CMA,Problem3,802,0.28,2,3.2,0.6,1661990.29
Morris,CMA,Problem3,802,0.64,0.1,0,0.4,1434108.361
Morris,CMA,Problem3,802,0.82,0.86,0.8,0.6,1551192.051
Morris,CMA,Problem3,802,0.82,0.86,1.6,0.6,1711201.311
Morris,CMA,Problem3,802,0.82,0.86,4,0,1823836.338
Morris,CMA,Problem3,802,0.82,0.86,4,0.6,1247288.828
Morris,CMA,Problem3,802,0.82,2,1.6,0.6,1655357.024
Morris,CMA,Problem3,802,0.82,2,4,0,1869981.124
Morris,CMA,Problem4,10,0.1,0.1,2.4,0.6,97.04764424
Morris,CMA,Problem4,10,0.46,0.48,1.6,0.4,97.5157576
Morris,CMA,Problem4,10,0.46,0.48,4,0.2,97.49601525
Morris,CMA,Problem4,10,0.46,0.48,4,0.4,96.8774932
Morris,CMA,Problem4,10,0.46,1.62,4,0.4,96.14574833
Morris,CMA,Problem4,10,0.46,1.62,4,1,96.71729991
Morris,CMA,Problem4,10,0.64,0.1,2.4,0.6,96.25190581
Morris,CMA,Problem4,10,1,0.48,1.6,0.2,96.88717589
Morris,CMA,Problem4,10,1,0.48,1.6,0.4,96.29653414
Morris,CMA,Problem4,10,1,0.48,1.6,0.8,95.43912433
Morris,CMA,Problem4,10,1,0.48,4,0.2,96.21562539
Morris,CMA,Problem4,10,1,1.62,1.6,0.8,96.56991625
Morris,CMA,Problem4,1000,0.1,0.1,0.8,0,97.07295439
Morris,CMA,Problem4,1000,0.1,0.1,0.8,0.6,96.93167787
Morris,CMA,Problem4,1000,0.1,0.1,3.2,0.6,96.15959647
Morris,CMA,Problem4,1000,0.1,0.86,0.8,0.2,96.01576255
Morris,CMA,Problem4,1000,0.1,1.24,3.2,0.6,97.14019032
Morris,CMA,Problem4,1000,0.1,2,0.8,0.2,96.3107485
Morris,CMA,Problem4,1000,0.1,2,3.2,0.2,97.55371346
Morris,CMA,Problem4,1000,0.1,2,3.2,0.8,96.63954671
Morris,CMA,Problem4,1000,0.46,0.1,4,0.6,97.37594689
Morris,CMA,Problem4,1000,1,0.1,4,0.6,96.68575612
Morris,CMA,Problem4,1000,1,1.24,4,0.6,95.96748727
Morris,CMA,Problem4,208,0.1,1.24,2.4,1,96.63187684
Morris,CMA,Problem4,208,0.28,0.86,1.6,0.6,97.34695233
Morris,CMA,Problem4,208,0.28,2,1.6,0.6,97.29646676
Morris,CMA,Problem4,208,0.28,2,3.2,0,96.28206422
Morris,CMA,Problem4,208,0.28,2,3.2,0.6,97.20173152
Morris,CMA,Problem4,208,0.82,0.86,1.6,0,95.72127797
