method,algo,problem,lambda,mu-lambda_ratio,sigma0,alpha_mu,rescale_sigma0,BestSol_mean
SOBOL,CMA,Problem7,894.457,0.2336395,1.349619,2.256481,0.6356641,-37.99050609
SOBOL,CMA,Problem7,899.2636,0.3465348,0.4522427,1.010862,0.3010413,11.59979757
SOBOL,CMA,Problem7,899.2636,0.6586344,1.950878,1.411078,0.8388567,-21.19760022
SOBOL,CMA,Problem7,904.6388,0.1623725,1.958209,1.478255,0.7418455,2.528264225
SOBOL,CMA,Problem7,904.6388,0.6281973,1.723447,3.301364,0.4719746,-20.97466297
SOBOL,CMA,Problem7,908.3607,0.903765,0.7398554,1.980506,0.5745614,0.233744633
SOBOL,CMA,Problem7,908.3607,0.9895368,0.7398554,1.290862,0.5745614,8.130074544
SOBOL,CMA,Problem7,908.3607,0.9895368,0.7398554,1.980506,0.5745614,-16.3905557
SOBOL,CMA,Problem7,908.3607,0.9895368,0.7398554,1.980506,0.6901677,-11.35793824
SOBOL,CMA,Problem7,908.3607,0.9895368,0.9063944,1.980506,0.5745614,17.75852638
SOBOL,CMA,Problem7,914.7626,0.3914773,0.1052797,1.933193,0.8160174,16.74132563
SOBOL,CMA,Problem7,914.7626,0.5232084,0.9752225,3.098977,0.9057646,2.143841833
SOBOL,CMA,Problem7,919.9754,0.3394429,0.253008,2.998757,0.4575203,-11.54017277
SOBOL,CMA,Problem7,919.9754,0.7047349,0.122982,2.998757,0.4575203,16.28283092
SOBOL,CMA,Problem7,919.9754,0.7047349,0.253008,0.7328736,0.4575203,-8.006505232
SOBOL,CMA,Problem7,919.9754,0.7047349,0.253008,2.998757,0.4575203,-14.92893731
SOBOL,CMA,Problem7,919.9754,0.7047349,0.253008,2.998757,0.7398604,-3.734346597
SOBOL,CMA,Problem7,922.689,0.1550823,0.6929133,0.1015476,0.7842188,-5.917189828
SOBOL,CMA,Problem7,922.689,0.6501952,0.6929133,0.1015476,0.1001163,-3.141363565
SOBOL,CMA,Problem7,922.689,0.6501952,0.6929133,0.1015476,0.7842188,-24.55269103
SOBOL,CMA,Problem7,922.689,0.6501952,0.6929133,3.045247,0.7842188,-5.580066199
SOBOL,CMA,Problem7,922.689,0.6501952,0.7960131,0.1015476,0.7842188,-18.18523123
SOBOL,CMA,Problem7,925.8648,0.2861738,0.2828579,1.907467,0.3780308,11.21872296
SOBOL,CMA,Problem7,925.8648,0.2861738,1.831714,1.338056,0.3780308,-14.000926
SOBOL,CMA,Problem7,925.8648,0.2861738,1.831714,1.907467,0.3186893,-10.61808228
SOBOL,CMA,Problem7,925.8648,0.2861738,1.831714,1.907467,0.3780308,-8.299309359
SOBOL,CMA,Problem7,925.8648,0.7935778,1.831714,1.907467,0.3780308,-2.600117316
SOBOL,CMA,Problem7,93.0279,0.361017,1.24517,0.577082,0.845276,-9.477386828
SOBOL,CMA,Problem7,93.0279,0.572682,1.24517,0.577082,0.845276,-0.046982981
SOBOL,CMA,Problem7,93.0279,0.572682,1.24517,0.577082,0.923554,-16.73175807
SOBOL,CMA,Problem7,93.0279,0.572682,1.24517,3.96348,0.845276,1.671787885
SOBOL,CMA,Problem7,93.0279,0.572682,1.61685,0.577082,0.845276,-30.54083972
SOBOL,CMA,Problem7,933.7789,0.5156476,0.1785854,0.04767526,0.6344019,1.892259881
SOBOL,CMA,Problem7,933.7789,0.9086738,1.919376,0.807865,0.416992,3.196783094
SOBOL,CMA,Problem7,940.4303,0.2225782,0.3783842,1.774382,0.07363042,7.228094452
SOBOL,CMA,Problem7,940.4303,0.4130447,0.4627614,0.6754644,0.4546111,-7.819005528
SOBOL,CMA,Problem7,944.0897,0.2950303,1.369944,2.760949,0.4292569,1.853011659
SOBOL,CMA,Problem7,944.0897,0.2950303,1.369944,2.871304,0.4292569,-4.958996434
SOBOL,CMA,Problem7,944.0897,0.2950303,1.369944,2.871304,0.6275409,-5.618423713
SOBOL,CMA,Problem7,944.0897,0.2950303,1.435252,2.871304,0.4292569,14.74107623
SOBOL,CMA,Problem7,944.0897,0.4023044,1.369944,2.871304,0.4292569,3.148019619
SOBOL,CMA,Problem7,946.448,0.8069678,0.747434,3.48819,0.3295296,14.56217081
SOBOL,CMA,Problem7,946.448,0.8540316,0.9239389,1.264553,0.2501522,3.968089174
SOBOL,CMA,Problem7,954.7976,0.5610846,1.877387,1.134815,0.3670946,-27.7308438
SOBOL,CMA,Problem7,954.7976,0.5610846,1.926949,1.134815,0.1290711,-11.74358322
SOBOL,CMA,Problem7,954.7976,0.5610846,1.926949,1.134815,0.3670946,0.052261681
SOBOL,CMA,Problem7,954.7976,0.5610846,1.926949,2.787415,0.3670946,5.896395811
SOBOL,CMA,Problem7,954.7976,0.9765883,1.926949,1.134815,0.3670946,-11.18568995
SOBOL,CMA,Problem7,956.7404,0.7711177,1.85965,0.241128,0.3052498,-40.05669466
SOBOL,CMA,Problem7,956.7404,0.9432599,1.482844,0.241128,0.3052498,17.73918152
SOBOL,CMA,Problem7,956.7404,0.9432599,1.85965,0.241128,0.2189879,-9.475723504
SOBOL,CMA,Problem7,956.7404,0.9432599,1.85965,0.241128,0.3052498,-16.83045925
SOBOL,CMA,Problem7,956.7404,0.9432599,1.85965,2.649294,0.3052498,-4.887035328
SOBOL,CMA,Problem7,962.8286,0.2267989,0.1571196,1.34382,0.02176038,-9.234106703
SOBOL,CMA,Problem7,962.8286,0.838403,0.1571196,1.34382,0.02176038,19.16268101
SOBOL,CMA,Problem7,962.8286,0.838403,0.1571196,1.34382,0.6234604,-1.175005841
SOBOL,CMA,Problem7,962.8286,0.838403,0.1571196,2.004068,0.02176038,7.959917998
SOBOL,CMA,Problem7,962.8286,0.838403,1.214065,1.34382,0.02176038,-7.597579505
SOBOL,CMA,Problem7,967.9905,0.4203812,1.807521,2.85826,0.4394948,-13.64365342
SOBOL,CMA,Problem7,967.9905,0.459183,1.238203,2.85826,0.4394948,11.66681711
SOBOL,CMA,Problem7,967.9905,0.459183,1.807521,2.85826,0.4394948,-13.51970434
SOBOL,CMA,Problem7,967.9905,0.459183,1.807521,2.85826,0.7468077,-4.441282229
SOBOL,CMA,Problem7,967.9905,0.459183,1.807521,3.754159,0.4394948,5.061489382
SOBOL,CMA,Problem7,97.3982,0.306328,0.132407,2.95791,0.152754,18.79927532
SOBOL,CMA,Problem7,97.3982,0.306328,0.132407,2.95791,0.515215,15.56573705
SOBOL,CMA,Problem7,97.3982,0.306328,0.132407,3.44464,0.515215,50.30611129
SOBOL,CMA,Problem7,97.3982,0.306328,1.38233,2.95791,0.515215,-13.09116876
SOBOL,CMA,Problem7,97.3982,0.758418,0.132407,2.95791,0.515215,2.333243738
SOBOL,CMA,Problem7,970.5394,0.4607775,0.2647638,0.8742635,0.9033664,13.68832834
SOBOL,CMA,Problem7,970.5394,0.9923255,1.654307,2.215245,0.03661912,-5.370353184
SOBOL,CMA,Problem7,979.0032,0.108075,0.50651,1.55761,0.9543944,8.466540871
SOBOL,CMA,Problem7,979.0032,0.8816473,0.1859029,0.8981021,0.5980645,21.93759726
SOBOL,CMA,Problem7,982.7873,0.2394205,1.659436,1.661017,0.5389572,-20.80417202
SOBOL,CMA,Problem7,982.7873,0.5879414,1.533354,2.369618,0.04619915,-6.924079356
SOBOL,CMA,Problem7,985.7806,0.5372662,0.2457877,3.787829,0.9805209,12.52613966
SOBOL,CMA,Problem7,985.7806,0.7525587,1.052681,3.190348,0.6096756,2.100456296
SOBOL,CMA,Problem7,992.8573,0.5281818,1.991492,2.816852,0.4340902,0.38795603
SOBOL,CMA,Problem7,992.8573,0.7086939,1.769238,2.816852,0.4340902,-5.024607458
SOBOL,CMA,Problem7,992.8573,0.7086939,1.991492,2.816852,0.1359808,8.107111591
SOBOL,CMA,Problem7,992.8573,0.7086939,1.991492,2.816852,0.4340902,-17.08123102
SOBOL,CMA,Problem7,992.8573,0.7086939,1.991492,3.51663,0.4340902,0.309116611
SOBOL,CMA,Problem7,995.2282,0.3207307,0.7871541,3.071015,0.3643292,14.90599753
SOBOL,CMA,Problem7,995.2282,0.3207307,1.133261,0.07841701,0.3643292,-3.12887657
SOBOL,CMA,Problem7,995.2282,0.3207307,1.133261,3.071015,0.3643292,-20.64951821
SOBOL,CMA,Problem7,995.2282,0.3207307,1.133261,3.071015,0.5824735,-1.803065395
SOBOL,CMA,Problem7,995.2282,0.7372871,1.133261,3.071015,0.3643292,-22.28897708
SOBOL,CMA,Problem8,102.2108,0.2774447,0.6998366,3.956992,0.7579046,-91.14239602
SOBOL,CMA,Problem8,102.2108,0.8952541,1.588155,1.616455,0.04489436,287.881157
SOBOL,CMA,Problem8,106.3375,0.374523,1.570611,3.709494,0.42232,6.52071082
SOBOL,CMA,Problem8,106.3375,0.476686,1.743208,3.540586,0.4955418,9.31915091
SOBOL,CMA,Problem8,112.7625,0.3191728,0.5867127,3.627293,0.6528306,119.7340872
SOBOL,CMA,Problem8,112.7625,0.3191728,0.5995665,1.691931,0.6528306,-88.73612955
SOBOL,CMA,Problem8,112.7625,0.3191728,0.5995665,3.627293,0.5455091,-149.3819548
SOBOL,CMA,Problem8,112.7625,0.3191728,0.5995665,3.627293,0.6528306,-82.36692351
SOBOL,CMA,Problem8,112.7625,0.9198165,0.5995665,3.627293,0.6528306,-102.2058703
SOBOL,CMA,Problem8,114.1386,0.3280644,0.4025634,3.571063,0.6993727,182.9259987
SOBOL,CMA,Problem8,114.1386,0.4337206,0.4025634,2.476229,0.6993727,-141.847827
SOBOL,CMA,Problem8,114.1386,0.4337206,0.4025634,3.571063,0.5862049,185.1061449
SOBOL,CMA,Problem8,114.1386,0.4337206,0.4025634,3.571063,0.6993727,240.8581788
SOBOL,CMA,Problem8,114.1386,0.4337206,1.686915,3.571063,0.6993727,-149.1723453
SOBOL,CMA,Problem8,119.2643,0.1661113,1.045587,3.035894,0.9977116,133.1490183
SOBOL,CMA,Problem8,119.2643,0.1943507,1.045587,3.035894,0.2280484,-240.7648996
SOBOL,CMA,Problem8,119.2643,0.1943507,1.045587,3.035894,0.9977116,218.7903742
SOBOL,CMA,Problem8,119.2643,0.1943507,1.045587,3.600299,0.9977116,195.8858458
SOBOL,CMA,Problem8,119.2643,0.1943507,1.472889,3.035894,0.9977116,-344.3597051
SOBOL,CMA,Problem8,127.49,0.2029709,1.097208,2.925113,0.7855908,74.0203411
SOBOL,CMA,Problem8,127.49,0.3364996,1.971131,0.9079218,0.8937139,-42.37580124
SOBOL,CMA,Problem8,13.5814,0.497418,0.783523,0.307161,0.649121,-9.688329064
SOBOL,CMA,Problem8,13.5814,0.601783,1.56025,1.95486,0.339708,265.5886471
SOBOL,CMA,Problem8,133.293,0.2861738,1.831714,1.907467,0.3780308,-135.801409
SOBOL,CMA,Problem8,133.293,0.7935778,0.2828579,1.338056,0.3186893,-188.5906298
SOBOL,CMA,Problem8,136.6461,0.3532602,1.183279,0.4691376,0.9181676,132.0982848
SOBOL,CMA,Problem8,136.6461,0.8777412,1.012649,0.3776788,0.08585129,158.7600982
SOBOL,CMA,Problem8,143.2607,0.5517868,1.710706,1.824362,0.003279052,235.4610253
SOBOL,CMA,Problem8,143.2607,0.9270153,1.544555,3.212108,0.1317977,-57.77142123
SOBOL,CMA,Problem8,146.2683,0.493567,0.6072753,3.164702,0.858417,45.16929106
SOBOL,CMA,Problem8,146.2683,0.7394409,1.124315,3.240956,0.465553,74.81181088
SOBOL,CMA,Problem8,150.6674,0.2632554,1.773151,3.010665,0.146782,-14.25008428
SOBOL,CMA,Problem8,150.6674,0.3596408,0.7298785,2.422259,0.4897401,-118.1842933
SOBOL,CMA,Problem8,157.9201,0.7006202,0.1530553,3.125645,0.973912,-125.9590116
SOBOL,CMA,Problem8,157.9201,0.7006202,1.07958,3.125645,0.1148916,-330.0098606
SOBOL,CMA,Problem8,157.9201,0.7006202,1.07958,3.125645,0.973912,106.9064688
SOBOL,CMA,Problem8,157.9201,0.7006202,1.07958,3.868734,0.973912,-43.25562928
SOBOL,CMA,Problem8,157.9201,0.7848505,1.07958,3.125645,0.973912,-196.8497047
SOBOL,CMA,Problem8,16.3837,0.551787,1.54456,3.21211,0.131798,-194.8374981
SOBOL,CMA,Problem8,16.3837,0.927015,1.54456,1.82436,0.131798,-385.5902449
SOBOL,CMA,Problem8,16.3837,0.927015,1.54456,3.21211,0.00327905,317.7597923
SOBOL,CMA,Problem8,16.3837,0.927015,1.54456,3.21211,0.131798,-327.4299758
SOBOL,CMA,Problem8,16.3837,0.927015,1.71071,3.21211,0.131798,659.9713781
SOBOL,CMA,Problem8,160.8015,0.1187655,0.5618745,2.08575,0.1849528,212.4095149
SOBOL,CMA,Problem8,160.8015,0.4457066,1.420561,0.4199328,0.680371,-33.90078782
SOBOL,CMA,Problem8,163.8991,0.3465348,0.4522427,1.010862,0.3010413,104.9768897
SOBOL,CMA,Problem8,163.8991,0.3465348,0.4522427,1.010862,0.8388567,145.7470105
SOBOL,CMA,Problem8,163.8991,0.3465348,0.4522427,1.411078,0.3010413,0.230046118
SOBOL,CMA,Problem8,163.8991,0.3465348,1.950878,1.010862,0.3010413,-133.3840349
SOBOL,CMA,Problem8,163.8991,0.6586344,0.4522427,1.010862,0.3010413,-168.563027
SOBOL,CMA,Problem8,169.378,0.5032174,1.630171,3.412142,0.717463,-172.0563729
SOBOL,CMA,Problem8,169.378,0.8995306,0.6833634,3.412142,0.717463,486.8408759
SOBOL,CMA,Problem8,169.378,0.8995306,1.630171,2.550107,0.717463,-276.8319176
SOBOL,CMA,Problem8,169.378,0.8995306,1.630171,3.412142,0.55895,126.1925717
SOBOL,CMA,Problem8,169.378,0.8995306,1.630171,3.412142,0.717463,122.3361706
SOBOL,CMA,Problem8,173.5822,0.6263922,1.321253,1.497648,0.3835643,109.2403872
SOBOL,CMA,Problem8,173.5822,0.9139736,1.572739,3.919367,0.5113351,-222.7385269
SOBOL,CMA,Problem8,182.0952,0.1283379,1.84189,3.68556,0.4019327,91.48789764
SOBOL,CMA,Problem8,182.0952,0.1283379,1.867136,1.52965,0.4019327,99.49425945
SOBOL,CMA,Problem8,182.0952,0.1283379,1.867136,3.68556,0.4019327,216.949055
SOBOL,CMA,Problem8,182.0952,0.1283379,1.867136,3.68556,0.9262861,-10.9074022
SOBOL,CMA,Problem8,182.0952,0.5780406,1.867136,3.68556,0.4019327,-203.6873836
SOBOL,CMA,Problem8,184.7363,0.2632554,0.7298785,2.422259,0.4897401,-12.37547808
SOBOL,CMA,Problem8,184.7363,0.3596408,0.7298785,2.422259,0.146782,418.5921254
SOBOL,CMA,Problem8,184.7363,0.3596408,0.7298785,2.422259,0.4897401,-24.60405606
SOBOL,CMA,Problem8,184.7363,0.3596408,0.7298785,3.010665,0.4897401,-163.308567
SOBOL,CMA,Problem8,184.7363,0.3596408,1.773151,2.422259,0.4897401,-275.349359
SOBOL,CMA,Problem8,192.042,0.2267989,1.214065,2.004068,0.6234604,-10.96554694
SOBOL,CMA,Problem8,192.042,0.838403,0.1571196,1.34382,0.02176038,-290.3706327
SOBOL,CMA,Problem8,197.6565,0.6874587,1.418608,3.110016,0.6155336,235.7061455
SOBOL,CMA,Problem8,197.6565,0.6874587,1.978254,0.2744622,0.6155336,-13.6499305
SOBOL,CMA,Problem8,197.6565,0.6874587,1.978254,3.110016,0.02759668,-60.06651673
SOBOL,CMA,Problem8,197.6565,0.6874587,1.978254,3.110016,0.6155336,59.91886926
SOBOL,CMA,Problem8,197.6565,0.8057915,1.978254,3.110016,0.6155336,-251.1155849
SOBOL,CMA,Problem8,201.9166,0.3280644,1.686915,2.476229,0.5862049,370.9053012
SOBOL,CMA,Problem8,201.9166,0.4337206,0.4025634,3.571063,0.6993727,13.6390789
SOBOL,CMA,Problem8,204.7764,0.2982565,0.7724351,2.062757,0.8543631,69.40734663
SOBOL,CMA,Problem8,204.7764,0.5109148,0.5344601,2.062757,0.8543631,53.89866043
SOBOL,CMA,Problem8,204.7764,0.5109148,0.7724351,2.062757,0.8040744,-218.4672029
SOBOL,CMA,Problem8,204.7764,0.5109148,0.7724351,2.062757,0.8543631,-30.21762266
SOBOL,CMA,Problem8,204.7764,0.5109148,0.7724351,2.334005,0.8543631,-24.81356055
SOBOL,CMA,Problem8,21.4568,0.176645,0.233291,2.11741,0.936287,-242.9197754
SOBOL,CMA,Problem8,21.4568,0.176645,0.54135,1.58111,0.936287,-160.7809802
SOBOL,CMA,Problem8,21.4568,0.176645,0.54135,2.11741,0.872682,26.76834856
SOBOL,CMA,Problem8,21.4568,0.176645,0.54135,2.11741,0.936287,265.802909
SOBOL,CMA,Problem8,21.4568,0.817134,0.54135,2.11741,0.936287,236.9703096
SOBOL,CMA,Problem8,212.6907,0.4299262,0.5807634,3.851011,0.2085085,52.52890678
SOBOL,CMA,Problem8,212.6907,0.6408129,0.212421,2.561691,0.9649417,-96.94062026
SOBOL,CMA,Problem8,216.7409,0.5281818,1.769238,3.51663,0.1359808,-34.38362824
SOBOL,CMA,Problem8,216.7409,0.7086939,1.991492,2.816852,0.4340902,-95.08892053
SOBOL,CMA,Problem8,221.3019,0.2813641,1.595812,3.381222,0.1882619,-13.70538561
SOBOL,CMA,Problem8,221.3019,0.9804515,1.256507,3.381222,0.1882619,432.9302718
SOBOL,CMA,Problem8,221.3019,0.9804515,1.595812,2.620604,0.1882619,89.45174328
SOBOL,CMA,Problem8,221.3019,0.9804515,1.595812,3.381222,0.1882619,-85.75375661
SOBOL,CMA,Problem8,221.3019,0.9804515,1.595812,3.381222,0.6631319,62.67904682
SOBOL,CMA,Problem8,223.9703,0.2199486,0.9481265,3.148308,0.07718388,145.9139402
SOBOL,CMA,Problem8,223.9703,0.2199486,1.200099,0.5237644,0.07718388,209.1637738
SOBOL,CMA,Problem8,223.9703,0.2199486,1.200099,3.148308,0.07718388,-44.73451053
SOBOL,CMA,Problem8,223.9703,0.2199486,1.200099,3.148308,0.6794292,-39.92629315
SOBOL,CMA,Problem8,223.9703,0.3139476,1.200099,3.148308,0.07718388,181.9648358
SOBOL,CMA,Problem8,231.2474,0.5705532,0.5153239,3.354389,0.7970023,-94.62464109
SOBOL,CMA,Problem8,231.2474,0.5705532,1.311371,0.5104151,0.7970023,-90.19278178
SOBOL,CMA,Problem8,231.2474,0.5705532,1.311371,3.354389,0.2211837,-171.1699077
SOBOL,CMA,Problem8,231.2474,0.5705532,1.311371,3.354389,0.7970023,-319.9993091
SOBOL,CMA,Problem8,231.2474,0.8584346,1.311371,3.354389,0.7970023,-69.02291542
SOBOL,CMA,Problem8,233.4242,0.2131023,0.1179493,1.853363,0.9118586,-264.922868
SOBOL,CMA,Problem8,233.4242,0.7655666,0.1179493,0.4238751,0.9118586,-41.70469899
SOBOL,CMA,Problem8,233.4242,0.7655666,0.1179493,1.853363,0.4479749,88.81842584
SOBOL,CMA,Problem8,233.4242,0.7655666,0.1179493,1.853363,0.9118586,-134.1382487
SOBOL,CMA,Problem8,233.4242,0.7655666,1.818921,1.853363,0.9118586,-104.0273228
SOBOL,CMA,Problem8,241.3758,0.108075,0.1859029,1.55761,0.9543944,208.5210355
SOBOL,CMA,Problem8,241.3758,0.108075,0.50651,0.8981021,0.9543944,69.26936353
SOBOL,CMA,Problem8,241.3758,0.108075,0.50651,1.55761,0.5980645,126.484407
SOBOL,CMA,Problem8,241.3758,0.108075,0.50651,1.55761,0.9543944,-86.52003184
SOBOL,CMA,Problem8,241.3758,0.8816473,0.50651,1.55761,0.9543944,-88.33857162
SOBOL,CMA,Problem8,245.5792,0.4897595,1.07047,0.3363515,0.8752952,18.11131925
SOBOL,CMA,Problem8,245.5792,0.8457538,0.5240546,3.591301,0.4132168,-62.086386
SOBOL,CMA,Problem8,25.3248,0.144326,0.666441,3.36583,0.986573,-276.7111169
SOBOL,CMA,Problem8,25.3248,0.870036,1.67044,0.961967,0.869049,-3.870359711
SOBOL,CMA,Problem8,251.8038,0.4607775,0.2647638,0.8742635,0.03661912,52.45721217
SOBOL,CMA,Problem8,251.8038,0.4607775,0.2647638,0.8742635,0.9033664,-258.7009718
SOBOL,CMA,Problem8,251.8038,0.4607775,0.2647638,2.215245,0.9033664,-373.5791452
SOBOL,CMA,Problem8,251.8038,0.4607775,1.654307,0.8742635,0.9033664,-41.78183355
SOBOL,CMA,Problem8,251.8038,0.9923255,0.2647638,0.8742635,0.9033664,123.5268101
SOBOL,CMA,Problem8,252.8531,0.4708224,1.036383,1.106949,0.6551521,176.776066
SOBOL,CMA,Problem8,252.8531,0.5639306,0.224619,1.106949,0.6551521,-375.0605396
SOBOL,CMA,Problem8,252.8531,0.5639306,1.036383,1.106949,0.3142809,-95.68247361
SOBOL,CMA,Problem8,252.8531,0.5639306,1.036383,1.106949,0.6551521,-122.6667242
SOBOL,CMA,Problem8,252.8531,0.5639306,1.036383,2.393515,0.6551521,-177.9327148
SOBOL,CMA,Problem8,260.2907,0.3734658,1.156797,2.733483,0.9916443,-1.246075594
SOBOL,CMA,Problem8,260.2907,0.7166674,1.355244,0.1380073,0.3235379,222.9864779
SOBOL,CMA,Problem8,266.0663,0.6937006,1.601233,0.9345553,0.2411192,-217.0322635
SOBOL,CMA,Problem8,266.0663,0.7798731,1.601233,0.9345553,0.2411192,-206.910208
SOBOL,CMA,Problem8,266.0663,0.7798731,1.601233,0.9345553,0.5699418,227.6577833
SOBOL,CMA,Problem8,266.0663,0.7798731,1.601233,1.220437,0.2411192,-46.0694342
SOBOL,CMA,Problem8,266.0663,0.7798731,1.679747,0.9345553,0.2411192,131.2474951
SOBOL,CMA,Problem8,270.5901,0.2982565,0.5344601,2.334005,0.8040744,36.35078205
SOBOL,CMA,Problem8,270.5901,0.5109148,0.7724351,2.062757,0.8543631,-121.8193678
SOBOL,CMA,Problem8,276.3278,0.1461686,0.3316819,0.7996195,0.8101729,289.2847649
SOBOL,CMA,Problem8,276.3278,0.1461686,1.269672,0.7996195,0.8101729,-89.23048692
SOBOL,CMA,Problem8,276.3278,0.1461686,1.269672,0.7996195,0.9498901,8.557739891
SOBOL,CMA,Problem8,276.3278,0.1461686,1.269672,1.058295,0.8101729,167.184339
SOBOL,CMA,Problem8,276.3278,0.6389835,1.269672,0.7996195,0.8101729,-35.14845869
SOBOL,CMA,Problem8,278.6109,0.1187655,0.5618745,0.4199328,0.1849528,139.4750295
SOBOL,CMA,Problem8,278.6109,0.1187655,0.5618745,2.08575,0.1849528,66.66474019
SOBOL,CMA,Problem8,278.6109,0.1187655,0.5618745,2.08575,0.680371,68.08178618
SOBOL,CMA,Problem8,278.6109,0.1187655,1.420561,2.08575,0.1849528,-3.449364605
SOBOL,CMA,Problem8,278.6109,0.4457066,0.5618745,2.08575,0.1849528,-180.6421051
SOBOL,CMA,Problem8,285.6611,0.7663354,0.6168146,0.4524873,0.3729472,-134.7018567
SOBOL,CMA,Problem8,285.6611,0.9481863,0.6168146,0.4524873,0.3729472,-122.4690873
SOBOL,CMA,Problem8,285.6611,0.9481863,0.6168146,0.4524873,0.705471,186.0843652
SOBOL,CMA,Problem8,285.6611,0.9481863,0.6168146,1.434887,0.3729472,362.2116409
SOBOL,CMA,Problem8,285.6611,0.9481863,0.8935326,0.4524873,0.3729472,229.5978557
SOBOL,CMA,Problem8,289.4095,0.4666358,1.063419,2.137308,0.1990447,-167.4487009
SOBOL,CMA,Problem8,289.4095,0.7794783,0.9362349,1.034291,0.4802977,67.53025265
SOBOL,CMA,Problem8,294.719,0.3693372,0.2777793,3.428184,0.2307189,372.7957823
SOBOL,CMA,Problem8,294.719,0.955398,1.643528,0.2079858,0.01488995,-266.7097707
SOBOL,CMA,Problem8,298.0234,0.3070124,1.209976,2.660054,0.6862861,-39.91517304
SOBOL,CMA,Problem8,298.0234,0.6169173,0.2030821,2.660054,0.6862861,-312.2182477
SOBOL,CMA,Problem8,298.0234,0.6169173,1.209976,2.599925,0.6862861,-80.10530347
SOBOL,CMA,Problem8,298.0234,0.6169173,1.209976,2.660054,0.2636124,-299.7747621
SOBOL,CMA,Problem8,298.0234,0.6169173,1.209976,2.660054,0.6862861,236.2868407
SOBOL,CMA,Problem8,302.6597,0.3914773,0.1052797,1.933193,0.8160174,-325.8532431
SOBOL,CMA,Problem8,302.6597,0.3914773,0.1052797,1.933193,0.9057646,119.3253436
SOBOL,CMA,Problem8,302.6597,0.3914773,0.1052797,3.098977,0.8160174,-65.22823902
SOBOL,CMA,Problem8,302.6597,0.3914773,0.9752225,1.933193,0.8160174,-360.1777672
SOBOL,CMA,Problem8,302.6597,0.5232084,0.1052797,1.933193,0.8160174,155.4113562
SOBOL,CMA,Problem8,310.5061,0.2029709,1.097208,0.9079218,0.7855908,109.1956845
SOBOL,CMA,Problem8,310.5061,0.2029709,1.097208,2.925113,0.7855908,256.4444579
SOBOL,CMA,Problem8,310.5061,0.2029709,1.097208,2.925113,0.8937139,-9.984111008
SOBOL,CMA,Problem8,310.5061,0.2029709,1.971131,2.925113,0.7855908,-343.6922165
SOBOL,CMA,Problem8,310.5061,0.3364996,1.097208,2.925113,0.7855908,-221.4121913
SOBOL,CMA,Problem8,314.2465,0.2813641,1.256507,2.620604,0.6631319,-183.6297191
SOBOL,CMA,Problem8,314.2465,0.9804515,1.595812,3.381222,0.1882619,17.18269095
SOBOL,CMA,Problem8,32.8701,0.196129,0.42939,1.08443,0.167255,-67.78714906
SOBOL,CMA,Problem8,32.8701,0.954934,0.42939,1.08443,0.167255,49.57800812
SOBOL,CMA,Problem8,32.8701,0.954934,0.42939,1.08443,0.712914,41.07347248
SOBOL,CMA,Problem8,32.8701,0.954934,0.42939,3.8324,0.167255,163.7327824
SOBOL,CMA,Problem8,32.8701,0.954934,1.16689,1.08443,0.167255,35.254819
SOBOL,CMA,Problem8,320.7312,0.3808564,1.138874,3.522454,0.2371649,-71.87322929
SOBOL,CMA,Problem8,320.7312,0.5191281,1.138874,0.4844501,0.2371649,-267.5988772
SOBOL,CMA,Problem8,320.7312,0.5191281,1.138874,3.522454,0.2371649,-51.14790659
SOBOL,CMA,Problem8,320.7312,0.5191281,1.138874,3.522454,0.4054765,-93.35875256
SOBOL,CMA,Problem8,320.7312,0.5191281,1.755549,3.522454,0.2371649,-194.8800869
SOBOL,CMA,Problem8,323.5339,0.5610846,1.926949,1.134815,0.3670946,-159.5627898
SOBOL,CMA,Problem8,323.5339,0.9765883,1.877387,2.787415,0.1290711,-24.85153062
SOBOL,CMA,Problem8,328.5013,0.1461686,1.269672,0.7996195,0.8101729,233.4140581
SOBOL,CMA,Problem8,328.5013,0.6389835,0.3316819,1.058295,0.9498901,222.8664803
SOBOL,CMA,Problem8,334.6809,0.7711177,1.482844,2.649294,0.2189879,60.2485258
SOBOL,CMA,Problem8,334.6809,0.9432599,1.85965,0.241128,0.3052498,351.2226854
SOBOL,CMA,Problem8,340.8027,0.5973859,0.3433241,1.628855,0.8436551,281.0791048
SOBOL,CMA,Problem8,340.8027,0.9384701,1.0247,2.277104,0.4786614,-186.9924131
SOBOL,CMA,Problem8,342.1068,0.2950303,1.369944,2.871304,0.4292569,-359.3339665
SOBOL,CMA,Problem8,342.1068,0.4023044,1.435252,2.760949,0.6275409,128.9041765
SOBOL,CMA,Problem8,349.542,0.5156476,0.1785854,0.04767526,0.416992,335.5384061
SOBOL,CMA,Problem8,349.542,0.5156476,0.1785854,0.04767526,0.6344019,-106.7584673
SOBOL,CMA,Problem8,349.542,0.5156476,0.1785854,0.807865,0.6344019,123.290019
SOBOL,CMA,Problem8,349.542,0.5156476,1.919376,0.04767526,0.6344019,-224.7846525
SOBOL,CMA,Problem8,349.542,0.9086738,0.1785854,0.04767526,0.6344019,116.1261977
SOBOL,CMA,Problem8,353.018,0.183472,1.821929,1.202582,0.2464895,-120.2507972
SOBOL,CMA,Problem8,353.018,0.6959702,0.3172176,1.518078,0.2565098,-502.1686137
