method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,CDTLZ2,3,20.0,0.1,92.0,0.918182,56.0,6.36364,0.06351351452594828,0.06287046566186896,0.08136359277134299
Morris,NSGAIII,CDTLZ2,3,20.0,0.263636,92.0,0.509091,92.0,6.36364,0.02481018240965042,0.06839468497888565,0.09981421767507571
Morris,NSGAIII,CDTLZ2,3,20.0,0.263636,92.0,1.0,92.0,6.36364,0.023170175746142312,0.05365439295463772,0.08533836146503145
Morris,NSGAIII,CDTLZ2,3,20.0,0.4272727,128.0,0.2636364,146.0,7.090909,0.02812114803901421,0.07372990704847711,0.1101904499121998
Morris,NSGAIII,CDTLZ2,3,20.0,0.590909,92.0,0.918182,56.0,6.36364,0.00803278046712483,0.03895640594276127,0.06673728374414463
Morris,NSGAIII,CDTLZ2,3,20.0,0.5909091,92.0,0.9181818,164.0,6.363636,0.012652713364196155,0.0474139729694774,0.08187268627927749
Morris,NSGAIII,CDTLZ2,3,20.0,0.8363636,20.0,0.1818182,110.0,7.818182,0.018183357915549654,0.048486032641205316,0.07762324074570903
Morris,NSGAIII,CDTLZ2,3,20.0,0.8363636,20.0,0.6727273,110.0,3.454545,0.009119403727840463,0.03263156072435036,0.05545715408993681
Morris,NSGAIII,CDTLZ2,3,20.0,0.8363636,20.0,0.6727273,110.0,7.818182,0.010131242449698184,0.03651001337774104,0.06005514944012124
Morris,NSGAIII,CDTLZ2,3,287.2727,0.1,146.0,0.5909091,128.0,4.909091,0.21261553135217387,0.0481903275348297,0.05313211331486036
Morris,NSGAIII,CDTLZ2,3,287.2727,0.2636364,74.0,0.9181818,56.0,4.181818,0.13652732407081594,0.022467423394549095,0.026473603625418056
Morris,NSGAIII,CDTLZ2,3,287.2727,0.4272727,110.0,0.3454545,92.0,7.818182,0.1355020379969555,0.025627538300935858,0.02857472560732037
Morris,NSGAIII,CDTLZ2,3,287.2727,0.4272727,146.0,0.1818182,164.0,2.0,0.1016467675195559,0.017175550758706734,0.019480588737269815
Morris,NSGAIII,CDTLZ2,3,287.2727,0.4272727,146.0,0.1818182,164.0,6.363636,0.12054628762009618,0.027111739103776657,0.02807213470472047
Morris,NSGAIII,CDTLZ2,3,287.2727,0.4272727,146.0,0.1818182,56.0,6.363636,0.12242810395959464,0.021161252794398483,0.02302663494993108
Morris,NSGAIII,CDTLZ2,3,287.2727,0.8363636,128.0,0.5090909,200.0,8.545455,0.10548295385253828,0.01892324653201198,0.020050422318933576
Morris,NSGAIII,CDTLZ2,3,287.2727,0.8363636,128.0,1.0,200.0,8.545455,0.10177695389709514,0.017087667105754933,0.020187170126098945
Morris,NSGAIII,CDTLZ2,3,287.2727,0.9181818,110.0,0.3454545,92.0,7.818182,0.09125263751406348,0.019976833535759683,0.02231965628980081
Morris,NSGAIII,CDTLZ2,3,287.2727,0.9181818,146.0,0.1818182,56.0,6.363636,0.09664713140392305,0.012897143189699567,0.01626831058584557
Morris,NSGAIII,CDTLZ2,3,287.2727,0.9181818,182.0,0.5090909,20.0,6.363636,0.09495476690260461,0.015547235895622099,0.01750054671132026
Morris,NSGAIII,CDTLZ2,3,287.2727,0.9181818,182.0,1.0,128.0,6.363636,0.09858976691968033,0.015166555401562426,0.01638624945642284
Morris,NSGAIII,CDTLZ2,3,287.2727,0.9181818,182.0,1.0,20.0,6.363636,0.08848247594935035,0.017098357506192534,0.018223196041451152
Morris,NSGAIII,CDTLZ2,3,287.2727,0.9181818,74.0,1.0,128.0,2.0,0.07848369620850396,0.0110549201736101,0.013097238554994116
Morris,NSGAIII,CDTLZ2,3,287.2727,0.9181818,74.0,1.0,128.0,6.363636,0.09027357696213373,0.018499852777333077,0.021047939068184817
Morris,NSGAIII,CDTLZ2,3,287.2727,1.0,38.0,0.1818182,164.0,7.818182,0.0855521384753668,0.01327810365819567,0.015419068593858162
Morris,NSGAIII,CDTLZ2,3,376.3636,0.2636364,200.0,0.2636364,128.0,3.454545,0.18548127151858246,0.03451369097956734,0.03859999978988791
Morris,NSGAIII,CDTLZ2,3,376.3636,0.2636364,200.0,0.2636364,20.0,3.454545,0.15596825433436134,0.024877058358298412,0.027419754765616245
Morris,NSGAIII,CDTLZ2,3,376.3636,0.7545455,200.0,0.2636364,128.0,3.454545,0.11365987336181699,0.017737221764282156,0.019122060668144824
Morris,NSGAIII,CDTLZ2,3,376.3636,0.7545455,200.0,0.2636364,128.0,7.818182,0.13929514119001554,0.024577039863039867,0.02690332016615031
Morris,NSGAIII,CDTLZ2,3,376.3636,0.7545455,200.0,0.7545455,128.0,7.818182,0.12968187969373532,0.01825999279171744,0.020669826793390574
Morris,NSGAIII,CDTLZ2,3,376.3636,0.9181818,200.0,0.5909091,164.0,4.181818,0.11810793989187811,0.01482504672083612,0.015033430998126705
Morris,NSGAIII,CDTLZ2,3,376.3636,0.9181818,200.0,0.5909091,164.0,8.545455,0.121281915609782,0.017614648728439986,0.019182261140226132
Morris,NSGAIII,CDTLZ2,3,465.4545,0.1,110.0,0.1,164.0,7.818182,0.2559982857875212,0.047483185770981276,0.062326415939376455
Morris,NSGAIII,CDTLZ2,3,465.4545,0.2636364,110.0,0.1818182,200.0,2.727273,0.1878471489891239,0.03591307446994229,0.041973070754616704
Morris,NSGAIII,CDTLZ2,3,465.4545,0.2636364,110.0,0.6727273,200.0,2.727273,0.20962109195435827,0.028414326012376083,0.03284891827747188
Morris,NSGAIII,CDTLZ2,3,465.4545,0.2636364,2.0,0.6727273,200.0,2.727273,0.14879495008220317,0.033395305349060773,0.04058536282115192
Morris,NSGAIII,CDTLZ2,3,465.4545,0.2636364,2.0,0.6727273,92.0,2.727273,0.15252326396942817,0.026280939139199593,0.029285237542087242
Morris,NSGAIII,CDTLZ2,3,465.4545,0.3454545,200.0,0.5909091,200.0,7.818182,0.21703889303915616,0.02844268983081681,0.035504311691746795
Morris,NSGAIII,CDTLZ2,3,465.4545,0.3454545,92.0,0.5909091,200.0,7.818182,0.2057492763835534,0.03141305340152153,0.035239150956815346
Morris,NSGAIII,CDTLZ2,3,465.4545,0.3454545,92.0,0.5909091,92.0,7.818182,0.20124805813861277,0.03810015370291026,0.04197068396263868
Morris,NSGAIII,CDTLZ2,3,465.4545,0.4272727,128.0,0.9181818,200.0,7.090909,0.19614313411036077,0.023908661405896748,0.02788108518352663
Morris,NSGAIII,CDTLZ2,3,465.4545,0.4272727,20.0,0.9181818,200.0,7.090909,0.17139952422216123,0.032178347854920526,0.03385632076238767
Morris,NSGAIII,CDTLZ2,3,465.4545,0.5909091,110.0,0.1,164.0,7.818182,0.16577099409619783,0.021826471009895834,0.024742235623420095
Morris,NSGAIII,CDTLZ2,3,465.4545,0.5909091,110.0,0.5909091,164.0,7.818182,0.17482468946058424,0.02325791646700446,0.024726810828790764
Morris,NSGAIII,CDTLZ2,3,465.4545,0.5909091,2.0,0.5909091,164.0,7.818182,0.12983507013824566,0.028069183722336074,0.033766338624626906
Morris,NSGAIII,CDTLZ2,3,465.4545,0.5909091,2.0,0.5909091,56.0,7.818182,0.12646660203231166,0.022148521826536566,0.024393276633433866
Morris,NSGAIII,CDTLZ2,3,465.4545,0.8363636,92.0,0.1,92.0,3.454545,0.1369081445544335,0.018693887039492346,0.02132094214028581
Morris,NSGAIII,CDTLZ2,3,465.4545,0.8363636,92.0,0.5909091,92.0,3.454545,0.14304358790460317,0.015320097082092185,0.01677467763933042
Morris,NSGAIII,CDTLZ2,3,465.4545,0.8363636,92.0,0.5909091,92.0,7.818182,0.15665620558383472,0.02109923875623394,0.02153461990891377
Morris,NSGAIII,CDTLZ2,3,465.4545,0.9181818,128.0,0.9181818,200.0,7.090909,0.14809492936702504,0.017696257313981046,0.022297953743764767
Morris,NSGAIII,CDTLZ2,3,465.4545,0.9181818,128.0,0.9181818,92.0,2.727273,0.13463942906145815,0.019373875543035896,0.020825730306759428
Morris,NSGAIII,CDTLZ2,3,465.4545,0.9181818,128.0,0.9181818,92.0,7.090909,0.14905496415145955,0.02012853871054188,0.023632018557033438
Morris,NSGAIII,CDTLZ2,3,554.5455,0.1,200.0,0.4272727,56.0,2.0,0.27610352883374073,0.03008043294773461,0.04051910376130863
Morris,NSGAIII,CDTLZ2,3,554.5455,0.1,92.0,0.4272727,56.0,2.0,0.2525829978868882,0.04347409444048426,0.05221932517499152
Morris,NSGAIII,CDTLZ2,3,554.5455,0.1,92.0,0.4272727,56.0,6.363636,0.2607153283359836,0.0493330883184055,0.0582301342164951
Morris,NSGAIII,CDTLZ2,3,554.5455,0.2636364,92.0,0.5090909,200.0,6.363636,0.24207105473455315,0.03639216828268142,0.043019435872972474
Morris,NSGAIII,CDTLZ2,3,554.5455,0.2636364,92.0,0.5090909,92.0,6.363636,0.24020269098800343,0.03530791022861813,0.040686884708621536
Morris,NSGAIII,CDTLZ2,3,554.5455,0.3454545,128.0,0.6727273,110.0,3.454545,0.22277935055300108,0.03516520556361906,0.04330583492825776
Morris,NSGAIII,CDTLZ2,3,554.5455,0.3454545,128.0,0.6727273,2.0,3.454545,0.2033888518660988,0.024246578720919624,0.027218628905182767
Morris,NSGAIII,CDTLZ2,3,554.5455,0.3454545,20.0,0.6727273,110.0,3.454545,0.18970257892613276,0.033452735345340046,0.037334226397087215
