method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,mode,neighbour,GD,IGD,HV
Morris,MOEAD,DTLZ1,3,643.6364,0.8363636,92,0.3454545,20,1.818182,0.2454545,5.102434398,4.629021195,0.000255316
Morris,MOEAD,DTLZ1,3,643.6364,0.8363636,92,0.3454545,20,1.818182,0.4636364,5.125329612,4.143966718,0
Morris,MOEAD,DTLZ1,3,643.6364,0.8363636,92,0.3454545,20,3.454545,0.4636364,5.195748774,4.609550727,0
Morris,MOEAD,DTLZ1,3,643.6364,1,182,0.3454545,92,1.545455,0.3181818,5.666404511,6.799931572,0
Morris,MOEAD,DTLZ1,3,643.6364,1,182,0.3454545,92,3.181818,0.1,5.735781862,6.980575053,0
Morris,MOEAD,DTLZ1,3,643.6364,1,182,0.3454545,92,3.181818,0.3181818,5.495699906,5.971549758,0
Morris,MOEAD,DTLZ1,3,643.6364,1,182,0.8363636,92,3.181818,0.1,5.529386973,7.17634216,0
Morris,MOEAD,DTLZ1,3,732.7273,0.1818182,110,0.4272727,110,3.727273,0.1,6.915174309,7.599138744,0
Morris,MOEAD,DTLZ1,3,732.7273,0.1818182,110,0.4272727,2,2.090909,0.1,5.808794761,3.086053137,0
Morris,MOEAD,DTLZ1,3,732.7273,0.1818182,110,0.4272727,2,3.727273,0.1,5.805011669,2.869945759,0
Morris,MOEAD,DTLZ1,3,732.7273,0.1818182,2,0.4272727,2,2.090909,0.1,6.330395258,4.489670765,0
Morris,MOEAD,DTLZ1,3,732.7273,0.1818182,2,0.9181818,2,2.090909,0.1,6.293005824,4.037706913,0
Morris,MOEAD,DTLZ1,3,732.7273,0.3454545,128,0.5090909,164,2.090909,0.4636364,5.456548486,6.366699507,0
Morris,MOEAD,DTLZ1,3,732.7273,0.3454545,20,0.5090909,164,2.090909,0.4636364,5.432419386,7.304867751,0
Morris,MOEAD,DTLZ1,3,732.7273,0.5090909,56,0.1818182,182,3.181818,0.3181818,5.663075325,7.964924069,0
Morris,MOEAD,DTLZ1,3,732.7273,0.7545455,74,0.1,92,1.818182,0.1363636,5.763720973,5.416228263,0
Morris,MOEAD,DTLZ1,3,732.7273,0.8363636,20,0.5090909,164,2.090909,0.4636364,5.403022776,5.715835844,0
Morris,MOEAD,DTLZ1,3,732.7273,0.8363636,20,1,164,2.090909,0.4636364,5.374764805,6.84729859,0
Morris,MOEAD,DTLZ1,3,732.7273,0.8363636,20,1,164,3.727273,0.2454545,5.322121411,8.522205332,0
Morris,MOEAD,DTLZ1,3,732.7273,0.8363636,20,1,164,3.727273,0.4636364,5.211156554,6.883248078,0
Morris,MOEAD,DTLZ1,3,732.7273,1,164,0.1818182,182,1.545455,0.3181818,5.596136758,5.232514901,0
Morris,MOEAD,DTLZ1,3,732.7273,1,164,0.6727273,182,1.545455,0.3181818,5.404287566,5.393899913,0
Morris,MOEAD,DTLZ1,3,732.7273,1,164,0.6727273,74,1.545455,0.3181818,5.407951747,6.450244041,0
Morris,MOEAD,DTLZ1,3,732.7273,1,20,0.2636364,164,1.545455,0.1,5.633443907,6.880938704,0
Morris,MOEAD,DTLZ1,3,732.7273,1,20,0.2636364,164,1.545455,0.3181818,5.354484846,6.943240365,0
Morris,MOEAD,DTLZ1,3,732.7273,1,56,0.1818182,182,1.545455,0.3181818,5.622096909,6.055319288,0
Morris,MOEAD,DTLZ1,3,732.7273,1,56,0.1818182,182,3.181818,0.3181818,5.616096826,6.935573926,0
Morris,MOEAD,DTLZ1,3,821.8182,0.1818182,74,0.2636364,146,1.545455,0.1363636,6.334236152,5.860722761,0
Morris,MOEAD,DTLZ1,3,821.8182,0.1818182,74,0.2636364,146,1.545455,0.3545455,5.399044918,5.180450889,0
Morris,MOEAD,DTLZ1,3,821.8182,0.1818182,74,0.7545455,146,1.545455,0.3545455,5.429346853,6.06205771,0
Morris,MOEAD,DTLZ1,3,821.8182,0.2636364,146,0.3454545,110,1.272727,0.2818182,5.290635359,7.053788897,0
