method,algo,problem,dim,pop,pSBX,sbxDI,pm,pmDI,tournament,GD,IGD,HV
Morris,NSGAIII,DTLZ1,3,465.4545,0.9181818,128,0.9181818,200,7.090909,21.105503,7.756307703,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.9181818,128,0.9181818,92,2.727273,20.32304492,4.336090216,0
Morris,NSGAIII,DTLZ1,3,465.4545,0.9181818,128,0.9181818,92,7.090909,21.89270571,8.409071236,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.1,200,0.4272727,56,2,32.24744159,10.76685415,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.1,92,0.4272727,56,2,31.80477308,11.07175003,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.1,92,0.4272727,56,6.363636,33.44716699,10.91346519,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.2636364,92,0.5090909,200,6.363636,30.60078813,10.3376224,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.2636364,92,0.5090909,92,6.363636,30.26201339,9.871880243,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.3454545,128,0.6727273,110,3.454545,27.92167997,7.526401069,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.3454545,128,0.6727273,2,3.454545,27.11397656,8.174571699,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.3454545,20,0.6727273,110,3.454545,27.9951468,9.290463034,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.4272727,128,0.2636364,146,2.727273,26.9151025,8.124251457,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.4272727,128,0.2636364,146,7.090909,27.9061365,9.683976588,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.7545455,200,0.5090909,200,2,22.74376114,7.440045328,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.7545455,92,0.5090909,200,2,22.62494006,8.869151323,0
Morris,NSGAIII,DTLZ1,3,554.5455,0.7545455,92,0.5090909,200,6.363636,24.2810858,7.308121959,0
